Sample_Name,Calibration_Points,Calibration_Threshold,Calibration_RMSE,Calibration_Order
CM_035_ICR-1,20,0.600000000000016,0.226139184248723,1
CM_035_ICR-2,25,0.600000000000016,0.182580481673815,1
CM_035_ICR-3,33,0.600000000000016,0.356744859361301,1
CM_037_ICR-1,26,0.600000000000016,0.320793810755219,1
CM_037_ICR-2,6,1.80000000000001,0.355100700526299,1
CM_037_ICR-3,46,0.600000000000016,0.346134985944252,1
CM_038_ICR-1,140,0.600000000000016,0.336636534773906,1
CM_038_ICR-2,73,0.600000000000016,0.346557389620774,1
CM_038_ICR-3,294,0.600000000000016,0.0920956907682568,1
CM_039_ICR-1,187,0.600000000000016,0.134083728501294,1
CM_039_ICR-2,8,0.600000000000016,0.268304183741065,1
CM_039_ICR-3,27,0.600000000000016,0.336686578849196,1
CM_040_ICR-1,71,0.600000000000016,0.352677939806175,1
CM_040_ICR-2,95,0.600000000000016,0.338686518432385,1
CM_040_ICR-3,473,0.600000000000016,0.128728310988869,1
CM_041_ICR-1,98,0.600000000000016,0.32051272465675,1
CM_041_ICR-2,446,0.600000000000016,0.120056814711296,1
CM_041_ICR-3,101,0.600000000000016,0.308427394247264,1
CM_042_ICR-1,65,0.600000000000016,0.296307611176293,1
CM_042_ICR-2,420,0.600000000000016,0.175638728540696,1
CM_042_ICR-3,91,0.600000000000016,0.323840616738363,1
CM_043_ICR-1,53,0.600000000000016,0.242675841545999,1
CM_043_ICR-2,31,0.600000000000016,0.326691544149459,1
CM_043_ICR-3,23,0.600000000000016,0.22623911113036899,1
CM_044_ICR-1,92,0.600000000000016,0.338441868085299,1
CM_044_ICR-2,138,0.600000000000016,0.336707736982924,1
CM_044_ICR-3,19,0.600000000000016,0.248705231590203,1
CM_045_ICR-1,8,0.600000000000016,0.115285080555227,1
CM_045_ICR-2,145,0.600000000000016,0.326513357286876,1
CM_045_ICR-3,251,0.600000000000016,0.104358842055538,1
CM_046_ICR-1,31,0.600000000000016,0.1848604741342,1
CM_046_ICR-2,72,0.600000000000016,0.331174715015629,1
CM_046_ICR-3,29,0.600000000000016,0.145493955900564,1
CM_047_ICR-1,55,0.600000000000016,0.306864759696517,1
CM_047_ICR-2,360,0.600000000000016,0.0814314104659704,1
CM_047_ICR-3,46,0.600000000000016,0.360500466052859,1
CM_048_ICR-1,106,0.600000000000016,0.300842165181547,1
CM_048_ICR-2,148,0.600000000000016,0.348888566905621,1
CM_048_ICR-3,32,0.600000000000016,0.258500903129143,1
CM_049_ICR-1,407,0.600000000000016,0.0641191551425393,1
CM_049_ICR-2,331,0.600000000000016,0.0885401109517491,1
CM_049_ICR-3,85,0.600000000000016,0.33519884001901,1
CM_050_ICR-1,15,0.600000000000016,0.32015177898896,1
CM_050_ICR-2,14,0.600000000000016,0.20921779676964,1
CM_050_ICR-3,34,0.600000000000016,0.297608205529883,1
CM_051_ICR-1,324,0.600000000000016,0.0742397323564908,1
CM_051_ICR-2,54,0.600000000000016,0.284448887503662,1
