Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C
50,349.092951,349.09293501479567,349.0928910843791,1800967.3,-9999,555307.9,26.18,-1,0.12584162460605974,0.9971306822143036,0,0.598278409328582,9,1.0588235294117647,0.4705882352941176,O8,de-protonated,0,-9999,C17 H18 O8,17,18,8,-9999,-9999,-9999,-9999
50,349.092951,349.09293501479567,349.09272889304907,1800967.3,-9999,555307.9,26.18,-1,0.5904498419498115,0.93870065690644,0,0.5632203941438639,4,1.9166666666666667,0.16666666666666666,N4 S2 P1 O2,de-protonated,0,-9999,C12 H23 O2 N4 P1 S2,12,23,2,4,1,2,-9999
51,349.129298,349.12928201884637,349.12927659372906,1822732.4,-9999,545086.6,26.52,-1,0.01553899278000278,0.9999561883061427,0,0.5999737129836856,8,1.2222222222222223,0.3888888888888889,O7,de-protonated,0,-9999,C18 H22 O7,18,22,7,-9999,-9999,-9999,-9999
51,349.129298,349.12928201884637,349.12911440239907,1822732.4,-9999,545086.6,26.52,-1,0.4800987382177688,0.9590395362808464,0,0.5754237217685078,3,2.076923076923077,0.07692307692307693,N4 S2 P1 O1,de-protonated,0,-9999,C13 H27 O1 N4 P1 S2,13,27,1,4,1,2,-9999
52,351.072199,351.0721832353749,351.0721556394891,1141028.6,-9999,666265.9,15.89,-1,0.07860459838137945,0.9988795143204656,0,0.5993277085922792,9,1,0.5625,O9,de-protonated,0,-9999,C16 H16 O9,16,16,9,-9999,-9999,-9999,-9999
52,351.072199,351.0721832353749,351.07199344815905,1141028.6,-9999,666265.9,15.89,-1,0.5405934377764507,0.94835460229448,0,0.5690127613766879,4,1.9090909090909092,0.2727272727272727,N4 S2 P1 O3,de-protonated,0,-9999,C11 H21 O3 N4 P1 S2,11,21,3,4,1,2,-9999
53,351.108585,351.1085692394299,351.10854114883904,2902058,-9999,457274.5,43.35,-1,0.08000543306673191,0.998839244868606,0,0.5993035469211636,8,1.1764705882352942,0.4705882352941176,O8,de-protonated,0,-9999,C17 H20 O8,17,20,8,-9999,-9999,-9999,-9999
53,351.108585,351.1085692394299,351.1083789575091,2902058,-9999,457274.5,43.35,-1,0.5419463966868959,0.9481026052942602,0,0.5688615631765561,3,2.0833333333333335,0.16666666666666666,N4 S2 P1 O2,de-protonated,0,-9999,C12 H25 O2 N4 P1 S2,12,25,2,4,1,2,-9999
54,351.109402,351.109386239521,351.109410528709,1245226.1,-9999,746962.7,17.51,-1,-0.06917840228479612,0.9991320267576136,0,0.5994792160545681,7,1.3333333333333333,0.16666666666666666,S2 O3,de-protonated,0,-9999,C18 H24 O3 S2,18,24,3,-9999,-9999,2,-9999
55,351.144928,351.14491224348023,351.1449266581891,1827887.4,-9999,602871.6,26.6,-1,-0.04105059695676289,0.9996942782146148,0,0.5998165669287688,7,1.3333333333333333,0.3888888888888889,O7,de-protonated,0,-9999,C18 H24 O7,18,24,7,-9999,-9999,-9999,-9999
55,351.144928,351.14491224348023,351.14476446685904,1827887.4,-9999,602871.6,26.6,-1,0.4208424448957844,0.9683747967881412,0,0.5810248780728846,2,2.230769230769231,0.07692307692307693,N4 S2 P1 O1,de-protonated,0,-9999,C13 H29 O1 N4 P1 S2,13,29,1,4,1,2,-9999
56,353.087812,353.0877964600068,353.0878057039491,2558801,-9999,556367,38,-1,-0.02618029314360923,0.9998756413975128,0,0.5999253848385077,8,1.125,0.5625,O9,de-protonated,0,-9999,C16 H18 O9,16,18,9,-9999,-9999,-9999,-9999
56,353.087812,353.0877964600068,353.0876435126191,2558801,-9999,556367,38,-1,0.4331711702258194,0.9665265264504558,0,0.5799159158702735,3,2.090909090909091,0.2727272727272727,N4 S2 P1 O3,de-protonated,0,-9999,C11 H23 O3 N4 P1 S2,11,23,3,4,1,2,-9999
57,353.124216,353.1242004640639,353.12419121329907,2309462.5,-9999,490299.5,34.11,-1,0.02619691616562372,0.999875483435697,0,0.5999252900614181,7,1.2941176470588236,0.4705882352941176,O8,de-protonated,0,-9999,C17 H22 O8,17,22,8,-9999,-9999,-9999,-9999
57,353.124216,353.1242004640639,353.1240290219691,2309462.5,-9999,490299.5,34.11,-1,0.4855010725254376,0.9581322100887806,0,0.5748793260532683,2,2.25,0.16666666666666666,N4 S2 P1 O2,de-protonated,0,-9999,C12 H27 O2 N4 P1 S2,12,27,2,4,1,2,-9999
58,353.125001,353.1249854641514,353.12506059316905,905558.5,-9999,716573.4,12.21,-1,-0.21275470376781697,0.9918204404720372,0,0.5950922642832223,6,1.4444444444444444,0.16666666666666666,S2 O3,de-protonated,0,-9999,C18 H26 O3 S2,18,26,3,-9999,-9999,2,-9999
59,353.160595,353.1605794681182,353.16057672264907,898395.9,-9999,620632,12.1,-1,0.00777399666668965,0.9999890342043812,0,0.5999934205226287,6,1.4444444444444444,0.3888888888888889,O7,de-protonated,0,-9999,C18 H26 O7,18,26,7,-9999,-9999,-9999,-9999
59,353.160595,353.1605794681182,353.1604145313191,898395.9,-9999,620632,12.1,-1,0.4670308232493662,0.9611957598559236,0,0.5767174559135542,1,2.3846153846153846,0.07692307692307693,N4 S2 P1 O1,de-protonated,0,-9999,C13 H31 O1 N4 P1 S2,13,31,1,4,1,2,-9999
60,353.200358,353.2003424725496,353.2003335353191,3138914,-9999,541526.4,47.04,-1,0.02530357326919002,0.999883830448998,0,0.5999302982693988,0,2.125,0.375,S1 O6,de-protonated,0,-9999,C16 H34 O6 S1,16,34,6,-9999,-9999,1,-9999
61,355.067109,355.06709368059154,355.0670702590591,917121.2,-9999,629453.2,12.39,-1,0.06596368515822368,0.9992107906577858,0,0.5995264743946714,8,1.0666666666666669,0.6666666666666666,O10,de-protonated,0,-9999,C15 H16 O10,15,16,10,-9999,-9999,-9999,-9999
61,355.067109,355.06709368059154,355.06690806772906,917121.2,-9999,629453.2,12.39,-1,0.5227546083947099,0.9516243480334198,0,0.5709746088200518,3,2.1,0.4,N4 S2 P1 O4,de-protonated,0,-9999,C10 H21 O4 N4 P1 S2,10,21,4,4,1,2,-9999
62,355.10346500000003,355.1034496846433,355.1034557684091,2035846.9,-9999,554504.7,29.83,-1,-0.01713237568460752,0.9999467429088832,0,0.5999680457453298,7,1.25,0.5625,O9,de-protonated,0,-9999,C16 H20 O9,16,20,9,-9999,-9999,-9999,-9999
62,355.10346500000003,355.1034496846433,355.1032935770791,2035846.9,-9999,554504.7,29.83,-1,0.4396117045486924,0.9655412133452128,0,0.5793247280071278,2,2.272727272727273,0.2727272727272727,N4 S2 P1 O3,de-protonated,0,-9999,C11 H25 O3 N4 P1 S2,11,25,3,4,1,2,-9999
63,355.104284,355.10426868473456,355.10432514827903,908423,-9999,749851.2,12.25,-1,-0.1590055104058674,0.9954229844090594,0,0.5972537906454356,6,1.411764705882353,0.2352941176470588,S2 O4,de-protonated,0,-9999,C17 H24 O4 S2,17,24,4,-9999,-9999,2,-9999
63,355.104284,355.10426868473456,355.1039450257591,908423,-9999,749851.2,12.25,-1,0.9114485490242236,0.8600743828530699,0,0.516044629711842,11,1.105263157894737,0.05263157894736842,N2 S1 P1 O1,de-protonated,0,-9999,C19 H21 O1 N2 P1 S1,19,21,1,2,1,1,-9999
64,355.139896,355.1398806887034,355.1398412777591,1489548.5,-9999,591797.4,21.31,-1,0.11097303006186009,0.9977679517291352,0,0.5986607710374812,6,1.411764705882353,0.4705882352941176,O8,de-protonated,0,-9999,C17 H24 O8,17,24,8,-9999,-9999,-9999,-9999
64,355.139896,355.1398806887034,355.13967908642906,1489548.5,-9999,591797.4,21.31,-1,0.5676703736657442,0.9432048608246442,0,0.5659229164947864,1,2.4166666666666665,0.16666666666666666,N4 S2 P1 O2,de-protonated,0,-9999,C12 H29 O2 N4 P1 S2,12,29,2,4,1,2,-9999
65,357.119139,357.11912390928205,357.1191058328691,1092550.6,-9999,628860,14.88,-1,0.05061732255616966,0.9995352159453644,0,0.5997211295672187,6,1.375,0.5625,O9,de-protonated,0,-9999,C16 H22 O9,16,22,9,-9999,-9999,-9999,-9999
65,357.119139,357.11912390928205,357.11894364153903,1092550.6,-9999,628860,14.88,-1,0.5047834796467787,0.9548182416199932,0,0.5728909449719959,1,2.4545454545454546,0.2727272727272727,N4 S2 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1 S2,11,27,3,4,1,2,-9999
66,359.11361,359.1135951315578,359.1136265292691,1157132.9,-9999,512700.5,15.87,-1,-0.08743113306978913,0.9986139308846852,0,0.5991683585308111,10,1.0526315789473684,0.3684210526315789,O7,de-protonated,0,-9999,C19 H20 O7,19,20,7,-9999,-9999,-9999,-9999
66,359.11361,359.1135951315578,359.1134643379391,1157132.9,-9999,512700.5,15.87,-1,0.3642125169666837,0.9762180499484132,0,0.5857308299690478,5,1.7857142857142858,0.07142857142857142,N4 S2 P1 O1,de-protonated,0,-9999,C14 H25 O1 N4 P1 S2,14,25,1,4,1,2,-9999
67,361.092879,361.0928643521394,361.0928910843791,1472602.3,-9999,532521.6,20.7,-1,-0.07403147612785722,0.9990060358512276,0,0.5994036215107366,10,1,0.4444444444444444,O8,de-protonated,0,-9999,C18 H18 O8,18,18,8,-9999,-9999,-9999,-9999
