Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S
28,295.045989,295.0459882920467,295.0459408909991,1115375.8,-9999,546139.9,16.92,-1,0.16065649794178083,0.9953276662783296,0,0.5971965997669978,8,0.9230769230769232,0.6153846153846154,O8,de-protonated,0,N/A,C13 H12 O8,13,12,8,-9999,-9999,-9999
28,295.045989,295.0459882920467,295.0457786996691,1115375.8,-9999,546139.9,16.92,-1,0.7103723988548695,0.9125026776170366,0,0.547501606570222,3,2.125,0.25,N4 S2 P1 O2,de-protonated,0,N/A,C8 H17 O2 N4 P1 S2,8,17,2,4,1,2
29,295.082343,295.0823422919978,295.0823264003491,1675506.6,-9999,645256.9,26.41,-1,0.05385496625044514,0.9994738724154628,0,0.5996843234492777,7,1.1428571428571428,0.5,O7,de-protonated,0,N/A,C14 H16 O7,14,16,7,-9999,-9999,-9999
29,295.082343,295.0823422919978,295.0821642090191,1675506.6,-9999,645256.9,26.41,-1,0.6035030249901897,0.9360498954679148,0,0.5616299372807488,2,2.3333333333333335,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,N/A,C9 H21 O1 N4 P1 S2,9,21,1,4,1,2
30,295.118745,295.11874429194893,295.1187119096991,1277813.5,-9999,574411.4,19.67,-1,0.10972618322388368,0.9978177722328532,0,0.598690663339712,6,1.3333333333333333,0.4,O6,de-protonated,0,N/A,C15 H20 O6,15,20,6,-9999,-9999,-9999
31,297.061636,297.06163528934036,297.06159095545905,1268109.8,-9999,538461.6,19.39,-1,0.14924137840591595,0.9959667508858788,0,0.5975800505315273,7,1.0769230769230769,0.6153846153846154,O8,de-protonated,0,N/A,C13 H14 O8,13,14,8,-9999,-9999,-9999
31,297.061636,297.06163528934036,297.06142876412906,1268109.8,-9999,538461.6,19.39,-1,0.6952272873535268,0.9160341933155074,0,0.5496205159893044,2,2.375,0.25,N4 S2 P1 O2,de-protonated,0,N/A,C8 H19 O2 N4 P1 S2,8,19,2,4,1,2
32,297.097958,297.09795728929157,297.0979764648091,2065040.6,-9999,583205.1,32.81,-1,-0.06454274029283859,0.9992444129541505,0,0.5995466477724902,6,1.2857142857142858,0.5,O7,de-protonated,0,N/A,C14 H18 O7,14,18,7,-9999,-9999,-9999
33,297.134318,297.13431728924274,297.13436197415905,866195.4,-9999,543243.6,12.62,-1,-0.1503862293380118,0.995904761701552,0,0.5975428570209312,5,1.4666666666666666,0.4,O6,de-protonated,0,N/A,C15 H22 O6,15,22,6,-9999,-9999,-9999
34,297.152954,297.15295328921775,297.1529894187691,1229588.9,-9999,614000.7,18.74,-1,-0.12158569031326198,0.9973212238793656,0,0.5983927343276194,4,1.625,0.1875,S1 O3,de-protonated,0,N/A,C16 H26 O3 S1,16,26,3,-9999,-9999,1
35,299.077221,299.0772202866341,299.0772410199191,2348844.5,-9999,636832.7,37.59,-1,-0.06932418169795088,0.9991283663454776,0,0.5994770198072865,6,1.2307692307692308,0.6153846153846154,O8,de-protonated,0,N/A,C13 H16 O8,13,16,8,-9999,-9999,-9999
36,299.113593,299.11359228658523,299.1136265292691,1102895.3,-9999,694509,16.6,-1,-0.11448052116585912,0.997624796940468,0,0.5985748781642807,5,1.4285714285714286,0.5,O7,de-protonated,0,N/A,C14 H20 O7,14,20,7,-9999,-9999,-9999
37,301.056476,301.0564752839766,301.0565055750291,1159881.4,-9999,650133.3,17.45,-1,-0.10061583767693616,0.9981647818099784,0,0.5988988690859869,6,1.1666666666666667,0.75,O9,de-protonated,0,N/A,C12 H14 O9,12,14,9,-9999,-9999,-9999
38,301.092922,301.0929212839277,301.0928910843791,1377100.3,-9999,576714.5,21.09,-1,0.10029977282716612,0.9981762831502926,0,0.5989057698901755,5,1.3846153846153846,0.6153846153846154,O8,de-protonated,0,N/A,C13 H18 O8,13,18,8,-9999,-9999,-9999
39,305.030275,305.0302742786412,305.0302908265391,885130.1,-9999,620315.2,12.85,-1,-0.05425001524778548,0.9994661274361554,0,0.5996796764616932,10,0.7142857142857143,0.5714285714285714,O8,de-protonated,0,N/A,C14 H10 O8,14,10,8,-9999,-9999,-9999
39,305.030275,305.0302742786412,305.0301286352091,885130.1,-9999,620315.2,12.85,-1,0.47747228352384374,0.9594772905056804,0,0.5756863743034083,5,1.6666666666666667,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,N/A,C9 H15 O2 N4 P1 S2,9,15,2,4,1,2
40,305.066567,305.06656627859246,305.0666763358891,850829.1,-9999,737464.4,12.27,-1,-0.36076472841876783,0.9766609075967704,0,0.5859965445580622,9,0.9333333333333332,0.4666666666666667,O7,de-protonated,0,N/A,C15 H14 O7,15,14,7,-9999,-9999,-9999
40,305.066567,305.06656627859246,305.0665141445591,850829.1,-9999,737464.4,12.27,-1,0.17089398847873494,0.9947148513209276,0,0.5968289107925565,4,1.9,0.1,N4 S2 P1 O1,de-protonated,0,N/A,C10 H19 O1 N4 P1 S2,10,19,1,4,1,2
41,307.046063,307.0460622759347,307.0459408909991,1156785,-9999,543553.7,17.28,-1,0.3953315104706637,0.97204024465483,0,0.583224146792898,9,0.8571428571428571,0.5714285714285714,O8,de-protonated,0,N/A,C14 H12 O8,14,12,8,-9999,-9999,-9999
41,307.046063,307.0460622759347,307.0457786996691,1156785,-9999,543553.7,17.28,-1,0.9235634724849964,0.8566120102949224,0,0.5139672061769535,4,1.8888888888888888,0.2222222222222222,N4 S2 P1 O2,de-protonated,0,N/A,C9 H17 O2 N4 P1 S2,9,17,2,4,1,2
42,307.082364,307.08236327588594,307.0823264003491,1207476,-9999,681231.1,18.13,-1,0.12008355315105192,0.9973869191590784,0,0.598432151495447,8,1.0666666666666669,0.4666666666666667,O7,de-protonated,0,N/A,C15 H16 O7,15,16,7,-9999,-9999,-9999
42,307.082364,307.08236327588594,307.0821642090191,1207476,-9999,681231.1,18.13,-1,0.6482527807116439,0.926584082954526,0,0.5559504497727155,3,2.1,0.1,N4 S2 P1 O1,de-protonated,0,N/A,C10 H21 O1 N4 P1 S2,10,21,1,4,1,2
43,309.025133,309.02513227327745,309.02520544610906,1018712.2,-9999,557115.5,14.98,-1,-0.2367859654031425,0.9898781827327068,0,0.593926909639624,9,0.7692307692307693,0.6923076923076923,O9,de-protonated,0,N/A,C13 H10 O9,13,10,9,-9999,-9999,-9999
43,309.025133,309.02513227327745,309.02504325477906,1018712.2,-9999,557115.5,14.98,-1,0.28806240895029217,0.9850561807118778,0,0.5910337084271267,4,1.875,0.375,N4 S2 P1 O3,de-protonated,0,N/A,C8 H15 O3 N4 P1 S2,8,15,3,4,1,2
44,309.061668,309.0616672732284,309.06159095545905,1305307.3,-9999,514704.2,19.75,-1,0.2469338526335398,0.9889969072283444,0,0.5933981443370067,8,1,0.5714285714285714,O8,de-protonated,0,N/A,C14 H14 O8,14,14,8,-9999,-9999,-9999
