Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,33S,34S
157,313.05676,313.05677801709066,313.0565055750291,1779372.8,-9999,591911.6,26.45,-1,0.8702648138335771,0.8716022184910885,0,0.5229613310946531,7,1.0769230769230769,0.6923076923076923,O9,de-protonated,0,-9999,C13 H14 O9,13,14,9,-9999,-9999,-9999,-9999,N/A,-9999
157,313.05676,313.05677801709066,313.0569948323791,1779372.8,-9999,591911.6,26.45,-1,-0.6925744895976165,0.9166463211943358,0,0.5499877927166015,11,0.9375,0.0625,N2 S1 P1 O1,de-protonated,0,-9999,C16 H15 O1 N2 P1 S1,16,15,1,2,1,1,-9999,N/A,-9999
158,313.09299,313.0930079361972,313.0928910843791,4459953,-9999,483077.4,69.19,-1,0.3732177299162373,0.9750424651254922,0,0.5850254790752953,6,1.2857142857142858,0.5714285714285714,O8,de-protonated,0,-9999,C14 H18 O8,14,18,8,-9999,-9999,-9999,-9999,N/A,-9999
160,313.129062,313.1290798556565,313.12927659372906,2608565.3,-9999,459564.7,39.67,-1,-0.628296640518549,0.9308770442425356,0,0.5585262265455214,5,1.4666666666666666,0.4666666666666667,O7,de-protonated,0,-9999,C15 H22 O7,15,22,7,-9999,-9999,-9999,-9999,N/A,-9999
161,313.129381,313.1293988549443,313.12927659372906,2560821.3,-9999,624152,38.91,-1,0.39044964622072126,0.9727170698817688,0,0.5836302419290613,5,1.4666666666666666,0.4666666666666667,O7,de-protonated,0,-9999,C15 H22 O7,15,22,7,-9999,-9999,-9999,-9999,N/A,-9999
162,315.072194,315.07220751707985,315.0721556394891,2331163.8,-9999,362381,35.24,-1,0.16465304794748842,0.99509289187905,0,0.59705573512743,6,1.2307692307692308,0.6923076923076923,O9,de-protonated,0,-9999,C13 H16 O9,13,16,9,-9999,-9999,-9999,-9999,N/A,-9999
165,315.108715,315.1087284355367,315.10854114883904,2310560.3,-9999,371843.4,34.92,-1,0.5943561446606871,0.937912683172258,0,0.5627476099033547,5,1.4285714285714286,0.5714285714285714,O8,de-protonated,0,-9999,C14 H20 O8,14,20,8,-9999,-9999,-9999,-9999,N/A,-9999
167,315.145017,315.14503035448246,315.1449266581891,1071268.5,-9999,492279.6,15.16,-1,0.32904319439622315,0.980546367601398,0,0.5883278205608388,4,1.6,0.4666666666666667,O7,de-protonated,0,-9999,C15 H24 O7,15,24,7,-9999,-9999,-9999,-9999,N/A,-9999
168,317.066376,317.06638506452,317.0666763358891,1003408.8,-9999,679195,14.07,-1,-0.9186439031930844,0.8580218207335829,0,0.5148130924401497,10,0.875,0.4375,O7,de-protonated,0,-9999,C16 H14 O7,16,14,7,-9999,-9999,-9999,-9999,N/A,-9999
168,317.066376,317.06638506452,317.0665141445591,1003408.8,-9999,679195,14.07,-1,-0.4071071316960554,0.9703750635264436,0,0.5822250381158661,5,1.7272727272727273,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H19 O1 N4 P1 S2,11,19,1,4,1,2,-9999,N/A,-9999
169,317.066857,317.066866063446,317.0666763358891,1399696.8,-9999,535672.5,20.39,-1,0.5983837819460437,0.9370954931017532,0,0.5622572958610519,10,0.875,0.4375,O7,de-protonated,0,-9999,C16 H14 O7,16,14,7,-9999,-9999,-9999,-9999,N/A,-9999
170,317.103281,317.1032899821194,317.1030618452391,1262229.4,-9999,547585.1,18.2,-1,0.7194407994111066,0.9103583694813324,0,0.5462150216887995,9,1.0588235294117647,0.35294117647058826,O6,de-protonated,0,-9999,C17 H18 O6,17,18,6,-9999,-9999,-9999,-9999,N/A,-9999
171,317.139179,317.13918790196726,317.1394473545891,1424793.9,-9999,647527.3,20.61,-1,-0.8181026485268595,0.885642291665177,0,0.5313853749991062,8,1.2222222222222223,0.2777777777777778,O5,de-protonated,0,-9999,C18 H22 O5,18,22,5,-9999,-9999,-9999,-9999,N/A,-9999
172,317.13958,317.13958890107193,317.1394473545891,1492377.9,-9999,625433.9,21.67,-1,0.4463225373495351,0.9645001711844396,0,0.5787001027106637,8,1.2222222222222223,0.2777777777777778,O5,de-protonated,0,-9999,C18 H22 O5,18,22,5,-9999,-9999,-9999,-9999,N/A,-9999
174,319.046053,319.0460576443465,319.0459408909991,1427213,-9999,373822.6,20.64,-1,0.36594525254596993,0.9759939716399288,0,0.5855963829839572,10,0.8,0.5333333333333333,O8,de-protonated,0,-9999,C15 H12 O8,15,12,8,-9999,-9999,-9999,-9999,N/A,-9999
174,319.046053,319.0460576443465,319.0457786996691,1427213,-9999,373822.6,20.64,-1,0.8743092559989852,0.870487045557181,0,0.5222922273343086,5,1.7,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H17 O2 N4 P1 S2,10,17,2,4,1,2,-9999,N/A,-9999
175,319.082151,319.0821555637478,319.0823264003491,1703057.6,-9999,489491.4,25,-1,-0.5353997609713158,0.9493167222827196,0,0.5695900333696317,9,1,0.4375,O7,de-protonated,0,-9999,C16 H16 O7,16,16,7,-9999,-9999,-9999,-9999,N/A,-9999
175,319.082151,319.0821555637478,319.0821642090191,1703057.6,-9999,489491.4,25,-1,-0.02709418533294702,0.9998668083194032,0,0.5999200849916418,4,1.9090909090909092,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H21 O1 N4 P1 S2,11,21,1,4,1,2,-9999,N/A,-9999
176,319.082489,319.08249356299314,319.0823264003491,1716241.8,-9999,517041.4,25.21,-1,0.5238856252144756,0.951419967644394,0,0.5708519805866363,9,1,0.4375,O7,de-protonated,0,-9999,C16 H16 O7,16,16,7,-9999,-9999,-9999,-9999,N/A,-9999
178,319.118868,319.118872481767,319.1187119096991,1631766.4,-9999,407134.7,23.87,-1,0.5031734648025966,0.9550994383978718,0,0.573059663038723,8,1.1764705882352942,0.35294117647058826,O6,de-protonated,0,-9999,C17 H20 O6,17,20,6,-9999,-9999,-9999,-9999,N/A,-9999
179,321.025166,321.0251662254324,321.02520544610906,1246162.8,-9999,399520.6,17.78,-1,-0.12217320016591492,0.9972953084227324,0,0.5983771850536395,10,0.7142857142857143,0.6428571428571429,O9,de-protonated,0,-9999,C14 H10 O9,14,10,9,-9999,-9999,-9999,-9999,N/A,-9999
179,321.025166,321.0251662254324,321.02504325477906,1246162.8,-9999,399520.6,17.78,-1,0.3830562627182177,0.9737269564190124,0,0.5842361738514074,5,1.6666666666666667,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H15 O3 N4 P1 S2,9,15,3,4,1,2,-9999,N/A,-9999
180,321.061282,321.06128214479344,321.06159095545905,1853591.6,-9999,487700.7,27.37,-1,-0.9618424449217196,0.8454674587753994,0,0.5072804752652397,9,0.9333333333333332,0.5333333333333333,O8,de-protonated,0,-9999,C15 H14 O8,15,14,8,-9999,-9999,-9999,-9999,N/A,-9999
180,321.061282,321.06128214479344,321.0614287641291,1853591.6,-9999,487700.7,27.37,-1,-0.45667066344557133,0.9628662383254628,0,0.5777197429952777,4,1.9,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H19 O2 N4 P1 S2,10,19,2,4,1,2,-9999,N/A,-9999
181,321.061689,321.0616891438847,321.06159095545905,2317463.8,-9999,439137.6,34.7,-1,0.3058242667165813,0.9831725696121888,0,0.5899035417673132,9,0.9333333333333332,0.5333333333333333,O8,de-protonated,0,-9999,C15 H14 O8,15,14,8,-9999,-9999,-9999,-9999,N/A,-9999
181,321.061689,321.0616891438847,321.0614287641291,2317463.8,-9999,439137.6,34.7,-1,0.8109966885827964,0.8875045447247568,0,0.5325027268348541,4,1.9,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H19 O2 N4 P1 S2,10,19,2,4,1,2,-9999,N/A,-9999
182,321.096881,321.0968810653089,321.0969448936091,1028252.4,-9999,715548,14.33,-1,-0.19878202273200984,0.9928558253393808,0,0.5957134952036285,4,1.9,0.6,N4 P1 O6,de-protonated,0,-9999,C10 H19 O6 N4 P1,10,19,6,4,1,-9999,-9999,N/A,-9999
