Sorting code,Citation,Study Codes,Data point code,Scientific Name,Common Name 2,Nativity,Authority,sp_code,variety,Subspecies,Species,Genus,plant form,Subfamily,Family,Order,Subclass,Class,Subdivision,Division,Superdivision,Subkingdom,Kingdom,Plant type,Clade,Latitude 2,Longitude 2,Lat_DD,Long_DD,"State, Territory, or Region",Country,Continent,"Elev (m, asl) 3",Source for elevation data,Stream order,Stream order 2,Land use,Duration (d),Duration (dd) 2,# sampling dates,mesh size category,T50 (d),k (d),n,estimated k?,equation used,min (ºC),max (ºC),range (ºC),mean (ºC),estimated mean?
817,Collier&Winterbourn_Mauri-Ora_1987,ST,LHZ167,Weinmannia racemosa,kamahi,New Zealand,,racemosa,,,racemosa,Weinmannia,tree,,Cunoniaceae,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,,Eudicot,-43.28,170.08,-43.4667,170.1333,South Westland,New Zealand,Australia,1610,GPS Visualizer,,,forest - unspecified,306,3213,4,coarse,266.6,0.0026,3,,exponential,4,17,13,10.5,Y
818,Collier&Winterbourn_Mauri-Ora_1987,ST,LHZ168,Weinmannia racemosa,kamahi,New Zealand,,racemosa,,,racemosa,Weinmannia,tree,,Cunoniaceae,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,,Eudicot,-43.28,170.08,-43.4667,170.1333,South Westland,New Zealand,Australia,1610,GPS Visualizer,,,forest - unspecified,306,3213,4,coarse,315.07,0.0022,3,,exponential,4,17,13,10.5,Y
819,Collier&Winterbourn_Mauri-Ora_1987,,LHZ169,Weinmannia racemosa,kamahi,New Zealand,,racemosa,,,racemosa,Weinmannia,tree,,Cunoniaceae,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,,Eudicot,-43.28,170.08,-43.4667,170.1333,South Westland,New Zealand,Australia,1610,GPS Visualizer,,,forest - unspecified,306,3060,4,coarse,177.73,0.0039,3,,exponential,8,12,4,10,Y
820,Collier&Winterbourn_Mauri-Ora_1987,ST,LHZ170,Weinmannia racemosa,kamahi,New Zealand,,racemosa,,,racemosa,Weinmannia,tree,,Cunoniaceae,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,,Eudicot,-43.28,170.08,-43.4667,170.1333,South Westland,New Zealand,Australia,1610,GPS Visualizer,,,forest - unspecified,306,3213,4,coarse,203.87,0.0034,3,,exponential,4,17,13,10.5,Y
821,Cornutetal_FW-Bio_2010,,LHZ171,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,43.2551,2.1323,43.4308,2.2167,Montagne Noire,France,Europe,743,Reported value,2,2,secondary forest,80,616,5,coarse,23.74,0.0292,5,,exponential,,,0,7.7,N
822,Cornutetal_FW-Bio_2010,E,LHZ172,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,43.2551,2.1323,43.4308,2.2167,Montagne Noire,France,Europe,743,Reported value,2,2,secondary forest,80,616,5,coarse,50.23,0.0138,5,,exponential,,,0,7.7,N
823,Cornutetal_FW-Bio_2010,E,LHZ173,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,43.2551,2.1323,43.4308,2.2167,Montagne Noire,France,Europe,743,Reported value,2,2,secondary forest,80,616,5,coarse,67.3,0.0103,5,,exponential,,,0,7.7,N
824,Cuffney&Wallace_Arch-Hydrobiol_1987,,LHZ182,Liquidambar styraciflua,sweetgum,US,L.,styraciflua,,,styraciflua,Liquidambar,,,Hamamelidaceae,Hamamelidales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,6,6,forest - unspecified,525,9503,9,coarse,11.63,0.0596,5,,exponential,,,0,18.1,N
825,Cuffney&Wallace_Arch-Hydrobiol_1987,,LHZ183,Liquidambar styraciflua,sweetgum,US,L.,styraciflua,,,styraciflua,Liquidambar,,,Hamamelidaceae,Hamamelidales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,6,6,forest - unspecified,525,9503,9,coarse,115.52,0.006,5,,exponential,,,0,18.1,N
826,Cuffney&Wallace_Arch-Hydrobiol_1987,E,LHZ184,Liquidambar styraciflua,sweetgum,US,L.,styraciflua,,,styraciflua,Liquidambar,,,Hamamelidaceae,Hamamelidales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,6,6,forest - unspecified,525,#VALUE!,7,coarse,76.17,0.0091,5,,exponential,,,0,.,
827,Cuffney&Wallace_Arch-Hydrobiol_1987,E,LHZ185,Liquidambar styraciflua,sweetgum,US,L.,styraciflua,,,styraciflua,Liquidambar,,,Hamamelidaceae,Hamamelidales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,6,6,forest - unspecified,525,#VALUE!,7,coarse,101.93,0.0068,5,,exponential,,,0,.,
828,Cuffney&Wallace_Arch-Hydrobiol_1987,,LHZ194,Quercus nigra,water oak,US,L.,q_nigra,,,nigra,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,6,6,forest - unspecified,525,9503,9,coarse,100.46,0.0069,5,,exponential,,,0,18.1,N
829,Cuffney&Wallace_Arch-Hydrobiol_1987,,LHZ195,Quercus nigra,water oak,US,L.,q_nigra,,,nigra,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,6,6,forest - unspecified,525,9503,9,coarse,223.6,0.0031,5,,exponential,,,0,18.1,N
830,Cuffney&Wallace_Arch-Hydrobiol_1987,E,LHZ196,Quercus nigra,water oak,US,L.,q_nigra,,,nigra,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,4,4,forest - unspecified,525,#VALUE!,7,coarse,147.48,0.0047,5,,exponential,,,0,.,
831,Cuffney&Wallace_Arch-Hydrobiol_1987,E,LHZ197,Quercus nigra,water oak,US,L.,q_nigra,,,nigra,Quercus,tree,Quercoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,32.27,-81.3,32.45,-81.05,Georgia,USA,North America,6,Reported value,4,4,forest - unspecified,525,#VALUE!,7,coarse,266.6,0.0026,5,,exponential,,,0,.,
832,Cuffneyetal_FW-Bio_1990,,LHZ198,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,829,Reported value,,,secondary forest,365,4709,9,coarse,53.32,0.013,5,,,1.5,19.5,18,12.9,N
833,Cuffneyetal_FW-Bio_1990,,LHZ199,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,841,Reported value,,,secondary forest,365,4526,9,coarse,58.74,0.0118,5,,,3.3,19.6,16.3,12.4,N
834,Cuffneyetal_FW-Bio_1990,,LHZ200,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,810,Reported value,,,secondary forest,365,4636,9,coarse,67.3,0.0103,5,,,1.6,19.4,17.8,12.7,N
835,Cuffneyetal_FW-Bio_1990,,LHZ201,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,829,Reported value,,,secondary forest,365,4709,9,coarse,231.05,0.003,5,,,1.5,19.5,18,12.9,N
836,Cuffneyetal_FW-Bio_1990,,LHZ202,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,841,Reported value,,,secondary forest,365,4526,9,coarse,223.6,0.0031,5,,,3.3,19.6,16.3,12.4,N
837,Cuffneyetal_FW-Bio_1990,,LHZ203,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,810,Reported value,,,secondary forest,365,4636,9,coarse,150.68,0.0046,5,,,1.6,19.4,17.8,12.7,N
838,Cuffneyetal_FW-Bio_1990,,LHZ204,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,829,Reported value,,,secondary forest,365,4709,9,coarse,54.58,0.0127,5,,,1.5,19.5,18,12.9,N
839,Cuffneyetal_FW-Bio_1990,,LHZ205,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,841,Reported value,,,secondary forest,365,4526,9,coarse,138.63,0.005,5,,,3.3,19.6,16.3,12.4,N
840,Cuffneyetal_FW-Bio_1990,,LHZ206,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,810,Reported value,,,secondary forest,365,4636,9,coarse,64.18,0.0108,5,,,1.6,19.4,17.8,12.7,N
841,Cuffneyetal_FW-Bio_1990,,LHZ207,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,829,Reported value,,,secondary forest,365,4709,9,coarse,223.6,0.0031,5,,,1.5,19.5,18,12.9,N
842,Cuffneyetal_FW-Bio_1990,,LHZ208,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,841,Reported value,,,secondary forest,365,4526,9,coarse,407.73,0.0017,5,,,3.3,19.6,16.3,12.4,N
843,Cuffneyetal_FW-Bio_1990,,LHZ209,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,810,Reported value,,,secondary forest,365,4636,9,coarse,150.68,0.0046,5,,,1.6,19.4,17.8,12.7,N
844,Cuffneyetal_FW-Bio_1990,,LHZ210,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,829,Reported value,,,secondary forest,365,4709,9,coarse,63.01,0.011,5,,,1.5,19.5,18,12.9,N
845,Cuffneyetal_FW-Bio_1990,,LHZ211,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,841,Reported value,,,secondary forest,365,4526,9,coarse,144.41,0.0048,5,,,3.3,19.6,16.3,12.4,N
846,Cuffneyetal_FW-Bio_1990,,LHZ212,Acer rubrum,red maple,US,L.,rubrum,,,rubrum,Acer,tree,,Sapindaceae,Sapindales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,810,Reported value,,,secondary forest,365,4636,9,coarse,72.96,0.0095,5,,,1.6,19.4,17.8,12.7,N
847,Cuffneyetal_FW-Bio_1990,,LHZ213,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,829,Reported value,,,secondary forest,365,4709,9,coarse,256.72,0.0027,5,,,1.5,19.5,18,12.9,N
848,Cuffneyetal_FW-Bio_1990,,LHZ214,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,841,Reported value,,,secondary forest,365,4526,9,coarse,407.73,0.0017,5,,,3.3,19.6,16.3,12.4,N
849,Cuffneyetal_FW-Bio_1990,,LHZ215,Rhododendron sp.,rhododendron,,L.,rhododendron-sp,,,rhododendron-sp,Rhododendron,shrub,Rhododendroideae,Ericaceae,Ericales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,35,-83.25,35,-83.4167,North Carolina,USA,North America,810,Reported value,,,secondary forest,365,4636,9,coarse,216.61,0.0032,5,,,1.6,19.4,17.8,12.7,N
874,Dudgeon and Gao 2010 Marine and FW Research,,SLJ25,Liquidambar formosana,sweetgum,,,formosana,,,formosana,Liquidambar,tree,,Hamamelidaceae,Hamamelidales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,22.25,114.1,22.4167,114.0167,"Central New Territories, Hong Kong",China,Asia,15,GPS Visualizer,,,secondary forest,61,1049,4,coarse,13.81,0.0502,7-May,,exponential,13,21,8,17.2,N
875,Dudgeon and Gao 2010 Marine and FW Research,,SLJ26,Ficus fistulosa,shui tong mu,China,Bentham,fisulosa,,,fistulosa,Ficus,tree,,Moraceae,Urticales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,semi-deciduous leaf,Eudicot,22.25,114.1,22.4167,114.0167,"Central New Territories, Hong Kong",China,Asia,15,GPS Visualizer,,,secondary forest,61,1049,4,coarse,55.45,0.0125,7-May,,exponential,13,21,8,17.2,N
876,Dudgeon and Gao 2010 Marine and FW Research,,SLJ27,Castanopsis fissa,,China,(Champ. ex Benth.) Rehder & E.H.Wilson,fissa,,,fissa,Castanopsis,tree,Castanoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,evergreen,Eudicot,22.25,114.1,22.4167,114.0167,"Central New Territories, Hong Kong",China,Asia,15,GPS Visualizer,,,secondary forest,61,1049,4,coarse,46.83,0.0148,7-May,,exponential,13,21,8,17.2,N
877,Dudgeon and Gao 2010 Marine and FW Research,,SLJ28,Pandanus furcatus,pandanus,screwpine,Roxb.,furcatus,,,furcatus,Pandanus,tree,,Pandanaceae,Pandanales,Arecidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,palm,Monocot,22.25,114.1,22.4167,114.0167,"Central New Territories, Hong Kong",China,Asia,15,GPS Visualizer,,,secondary forest,61,1049,4,coarse,50.59,0.0137,7-May,,exponential,13,21,8,17.2,N
891,Dudgeon 1991 Arch Hydrobiologia,,SLJ42,Bauhinia variegata,mountain ebony,,L.,variegata,,,variegata,Bauhinia,tree,,Fabaceae,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,22.27,114.1,22.45,114.0167,"Lam Tsuen River, New Territories, Hong Kong",China,Asia,465,Reported value,1,1,secondary forest,72,1188,,coarse,7.45,0.093,8 then 4 bags/week; 7 weeks,,exponential,13.5,19.5,6,16.5,Y
892,Dudgeon 1991 Arch Hydrobiologia,,SLJ43,Bauhinia variegata,mountain ebony,,L.,variegata,,,variegata,Bauhinia,tree,,Fabaceae,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,22.27,114.1,22.45,114.0167,"Lam Tsuen River, New Territories, Hong Kong",China,Asia,465,Reported value,1,1,secondary forest,72,1188,,coarse,9,0.077,4bags/week; 5 weeks,,exponential,13.5,19.5,6,16.5,Y
893,Dudgeon 1991 Arch Hydrobiologia,,SLJ44,Bauhinia variegata,mountain ebony,,L.,variegata,,,variegata,Bauhinia,tree,,Fabaceae,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,22.27,114.1,22.45,114.0167,"Lam Tsuen River, New Territories, Hong Kong",China,Asia,465,Reported value,1,1,secondary forest,72,1188,,coarse,10.5,0.066,4bags/week; 5 weeks,,exponential,13.5,19.5,6,16.5,Y
894,Dudgeon 1991 Arch Hydrobiologia,,SLJ45,Bauhinia variegata,mountain ebony,,L.,variegata,,,variegata,Bauhinia,tree,,Fabaceae,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,22.27,114.1,22.45,114.0167,"Lam Tsuen River, New Territories, Hong Kong",China,Asia,465,Reported value,1,1,secondary forest,72,1188,,coarse,7.07,0.098,4bags/week; 5 weeks,,exponential,13.5,19.5,6,16.5,Y
895,"Dangles and Guerold 1998 Arch Hydrobiologia, Dangles and Guerold 2000",,SLJ46,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,510,Reported value,2-Jan,1.5,secondary forest,225,1238,7,coarse,3465.74,0.0002,3,no,exponential,2.2,12.8,10.6,5.5,N
896,"Dangles and Guerold 1998 Arch Hydrobiologia, Dangles and Guerold 2000",,SLJ47,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,410,Reported value,2-Jan,1.5,secondary forest,225,1958,7,coarse,385.08,0.0018,3,no,exponential,3.9,12.8,8.9,8.7,N
897,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ48,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,510,Reported value,2-Jan,1.5,secondary forest,270,810,6,fine,1155.25,0.0006,,no,exponential,,,0,3,N
898,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ49,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,690,Reported value,2-Jan,1.5,secondary forest,270,720,6,fine,866.43,0.0008,,no,exponential,,,0,2.7,N
899,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ50,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,845,Reported value,2-Jan,1.5,secondary forest,270,630,6,fine,990.21,0.0007,,no,exponential,,,0,2.3,N
900,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ51,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,675,Reported value,2-Jan,1.5,secondary forest,270,720,6,fine,866.43,0.0008,,no,exponential,,,0,2.7,N
901,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ52,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,850,Reported value,2-Jan,1.5,secondary forest,270,743,6,fine,630.13,0.0011,,no,exponential,,,0,2.8,N
902,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ53,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,855,Reported value,2-Jan,1.5,secondary forest,270,810,6,fine,770.16,0.0009,,no,exponential,,,0,3,N
903,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ54,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,410,Reported value,2-Jan,1.5,secondary forest,270,1170,6,fine,533.19,0.0013,,no,exponential,,,0,4.3,N
904,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ55,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,510,Reported value,2-Jan,1.5,secondary forest,270,810,6,coarse,1155.25,0.0006,,no,exponential,,,0,3,N
905,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ56,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,690,Reported value,2-Jan,1.5,secondary forest,270,720,6,coarse,866.43,0.0008,,no,exponential,,,0,2.7,N
906,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ57,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,845,Reported value,2-Jan,1.5,secondary forest,270,810,6,coarse,577.62,0.0012,,no,exponential,,,0,3,N
907,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ58,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,675,Reported value,2-Jan,1.5,secondary forest,270,720,6,coarse,866.43,0.0008,,no,exponential,,,0,2.7,N
908,Dangles and Guerold 2001 Arch Hydrobiologia,,SLJ59,Fagus sylvatica,European beech,Europe,L.,sylvatica,,,sylvatica,Fagus,,Fagoideae,Fagaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,48.5,7.18,48.0833,7.3,"Vosges Mountains, NE",France,Europe,850,Reported value,2-Jan,1.5,secondary forest,270,844,6,coarse,277.26,0.0025,,no,exponential,,,0,3.1,N
