Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,33S,34S
223,274.210486,274.21050241941936,274.21048782792906,909382.6,-9999,574564.5,13.18,-1,0.05321273600539721,0.9994863427246063,0.98347302218521,0.9930810145088478,1,2.142857142857143,0.2857142857142857,13C1 O4,de-protonated,1,221,C14 H30 O4 13C1,14,30,4,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
224,275.113657,275.1136726911489,275.1136265292691,2156866.5,-9999,584395.4,33.94,-1,0.16779205161521532,0.9949044887572084,0,0.5969426932543249,3,1.6666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H20 O7,12,20,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
225,275.150089,275.150104661772,275.1500120386191,1574983.4,-9999,614851.7,24.25,-1,0.3366278352052351,0.9796484887909525,0,0.5877890932745714,2,1.8461538461538465,0.4615384615384616,O6,de-protonated,0,-9999,C13 H24 O6,13,24,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
226,275.186513,275.1865286324016,275.1863975479691,1359052.4,-9999,545615.7,20.66,-1,0.47634779067653255,0.9596640376394396,0,0.5757984225836639,1,2,0.35714285714285715,O5,de-protonated,0,-9999,C14 H28 O5,14,28,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
227,276.991742,276.99175617675814,276.99161786899907,1695425.1,-9999,607670.5,26.25,-1,0.49932109909007383,0.955768959281432,0,0.5734613755688592,9,0.8461538461538461,0.07692307692307693,S2 P1 O1,de-protonated,0,-9999,C13 H11 O1 P1 S2,13,11,1,-9999,1,2,-9999,-9999,-9999,-9999,-9999
228,277.059226,277.05924012234254,277.0594967558291,6286282,-9999,752988.2,102.64,-1,-0.9262757262497648,0.8558325309404836,0,0.5134995185642901,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,-9999,-9999,-9999,-9999
229,277.05974200000003,277.0597561219265,277.0594967558291,36551628,-9999,586939.4,606.26,-1,0.9361386288242596,0.8619299601460044,0.9932687698110624,0.9144654840120277,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,-9999,-9999,-9999,-9999
230,277.129384,277.1293980657708,277.12927659372906,896211.7,-9999,703370,12.95,-1,0.4383226601154103,0.9657395025958908,0,0.5794437015575344,2,1.8333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H22 O7,12,22,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
231,277.14462,277.1446340534852,277.1445327350191,1828181.8,-9999,598341.2,28.46,-1,0.3655798840271811,0.9760413054945868,0,0.5856247832967519,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
232,277.180965,277.1809790241785,277.1809182443691,1199322.6,-9999,558319.6,18,-1,0.2192784763161789,0.9913133426458764,0,0.5947880055875259,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
