Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
182,288.22617,288.22624694030566,288.2261378923891,1602215.8,-9999,798194,24.46,-1,0.378341525040886,0.974361412574675,0.9970363071908752,0.9834313704211552,1,2.1333333333333333,0.26666666666666666,13C1 O4,de-protonated,1,174,C15 H32 O4 13C1,15,32,4,-9999,-9999,-9999,1,N/A,-9999
185,292.982444,292.9825093016914,292.98250973656906,924382.9,-9999,557850.6,13.17,-1,-0.00148431275768394,0.9999996002351716,0,0.599999760141103,5,1.375,0.5,N2 S2 P1 O4,de-protonated,0,-9999,C8 H11 O4 N2 P1 S2,8,11,4,2,1,2,-9999,N/A,-9999
186,292.983146,292.98321129997356,292.9831611852491,2638047,-9999,794530.8,41.17,-1,0.17104984546620972,0.994705232288587,0,0.5968231393731521,14,0.4375,0.125,S1 P1 O2,de-protonated,0,-9999,C16 H7 O2 P1 S1,16,7,2,-9999,1,1,-9999,N/A,-9999
187,293.114457,293.11452197865526,293.1142952345291,890734.6,-9999,750215.7,12.62,-1,0.7735689792444214,0.897106656258028,0,0.5382639937548168,7,1.2857142857142858,0.35714285714285715,N2 O5,de-protonated,0,-9999,C14 H18 O5 N2,14,18,5,2,-9999,-9999,-9999,N/A,-9999
189,293.176011,293.1760758280325,293.1758328639391,14393078,-9999,760865.7,233.27,-1,0.8287316557264365,0.8787732534053863,0.970173350536264,0.9153332922577374,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,N/A,-9999
193,293.179136,293.17920082038563,293.17920416725906,1533942.3,-9999,757970.2,23.13,-1,-0.0114157940935699,0.9999763538223996,0,0.5999858122934397,0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,-9999,C14 H30 O4 S1,14,30,4,-9999,-9999,1,-9999,N/A,-9999
198,294.179378,294.17944037279096,294.1791876990091,2065260.5,-9999,814898.7,31.81,-1,0.8589111413176256,0.8747126559803641,0.970173350536264,0.912896933802724,5,1.625,0.25,13C1 O4,de-protonated,1,189,C16 H26 O4 13C1,16,26,4,-9999,-9999,-9999,1,N/A,-9999
199,295.155316,295.1553759846683,295.15509741904907,1145311.8,-9999,784931,16.78,-1,0.9437940312120212,0.8507602610944408,0,0.5104561566566644,5,1.5,0.3125,O5,de-protonated,0,-9999,C16 H24 O5,16,24,5,-9999,-9999,-9999,-9999,N/A,-9999
200,295.191694,295.1917538956512,295.19148292839907,1263332,-9999,852568.4,18.7,-1,0.9179372298222008,0.85822390483339706,0,0.5149343429000383,4,1.6470588235294117,0.2352941176470588,O4,de-protonated,0,-9999,C17 H28 O4,17,28,4,-9999,-9999,-9999,-9999,N/A,-9999
201,295.228067,295.2281268066464,295.2278684377491,1694696.4,-9999,787125.6,25.75,-1,0.8751507730110659,0.8702545444314099,0,0.5221527266588459,3,1.7777777777777777,0.16666666666666666,O3,de-protonated,0,-9999,C18 H32 O3,18,32,3,-9999,-9999,-9999,-9999,N/A,-9999
