Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
109,286.12947,286.12948206057,286.1296109463591,1683028.1,-9999,383010,26.2,-1,-0.45044547698170817,0.9638533301655356,0,0.5783119980993213,4,1.6153846153846154,0.4615384615384616,N1 O6,de-protonated,0,-9999,C13 H21 O6 N1,13,21,6,1,-9999,-9999,-9999,N/A,-9999,N/A,-9999
111,287.055272,287.0552840959743,287.0550800806591,1048959.4,-9999,426517.8,15.46,-1,0.7107183581209265,0.9124212793073204,0,0.5474527675843922,6,1.4444444444444444,0.5555555555555556,N4 P1 O5,de-protonated,0,-9999,C9 H13 O5 N4 P1,9,13,5,4,1,-9999,-9999,N/A,-9999,N/A,-9999
113,287.113668,287.11368009820745,287.1136265292691,2029958.1,-9999,411795.1,31.74,-1,0.18657748507853256,0.9937034678878282,0,0.5962220807326969,4,1.5384615384615383,0.5384615384615384,O7,de-protonated,0,-9999,C13 H20 O7,13,20,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
114,287.150162,287.1501740996031,287.1500120386191,2102154.3,-9999,353837.8,32.94,-1,0.5643774236522581,0.9438430606007004,0,0.5663058363604202,3,1.7142857142857142,0.42857142857142855,O6,de-protonated,0,-9999,C14 H24 O6,14,24,6,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
115,287.186385,287.18639710098824,287.1863975479691,982478.5,-9999,540518.1,14.36,-1,-0.00155641366855772,0.9999995604545334,0,0.5999997362727201,2,1.8666666666666667,0.3333333333333333,O5,de-protonated,0,-9999,C15 H28 O5,15,28,5,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
116,287.222982,287.2229941023878,287.2227830573191,2122834.8,-9999,357336.1,33.29,-1,0.7347783016786009,0.9066815509706764,0,0.5440089305824058,1,2,0.25,O4,de-protonated,0,-9999,C16 H32 O4,16,32,4,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
117,289.121293,289.1213051749825,289.12103438523906,935150.3,-9999,558630.3,13.57,-1,0.9365964812739628,0.8528520946899397,0,0.5117112568139638,3,1.7692307692307692,0.38461538461538464,P1 O5,de-protonated,0,-9999,C13 H23 O5 P1,13,23,5,-9999,1,-9999,-9999,N/A,-9999,N/A,-9999
118,289.129234,289.1292461752862,289.12927659372906,1486255.3,-9999,391795.7,22.72,-1,-0.10520706591809038,0.997993645792242,0,0.5987961874753452,3,1.6923076923076923,0.5384615384615384,O7,de-protonated,0,-9999,C13 H22 O7,13,22,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
119,289.181083,289.181095177269,289.1809182443691,1150133.3,-9999,414730.1,17.14,-1,0.6118415454491377,0.9343302377433912,0,0.5605981426460346,6,1.4444444444444444,0.16666666666666666,O3,de-protonated,0,-9999,C18 H26 O3,18,26,3,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
120,291.051078,291.0510902487809,291.05102627142907,862285.8,-9999,597529,12.25,-1,0.21981489860496664,0.9912709764764428,0,0.5947625858858657,9,0.8571428571428571,0.5,O7,de-protonated,0,-9999,C14 H12 O7,14,12,7,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
120,291.051078,291.0510902487809,291.0508640800991,862285.8,-9999,597529,12.25,-1,0.7770761393715837,0.8962218429236325,0,0.5377331057541794,4,1.8888888888888888,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H17 O1 N4 P1 S2,9,17,1,4,1,2,-9999,N/A,-9999,N/A,-9999
121,291.123886,291.1238982515652,291.12379729012906,879766.3,-9999,490273.8,12.54,-1,0.34679898066129694,0.9784136447101404,0,0.5870481868260843,7,1.25,0.3125,O5,de-protonated,0,-9999,C16 H20 O5,16,20,5,-9999,-9999,-9999,-9999,N/A,-9999,N/A,-9999
