Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,33S,34S
324,315.050557,315.0505613888354,315.0508640800991,1208115.4,-9999,509180.8,16.99,-1,-0.9607695080669584,0.8457839763338243,0,0.5074703858002946,6,1.5454545454545454,0.09090909090909093,N4 S2 P1 O1,de-protonated,0,-9999,C11 H17 O1 N4 P1 S2,11,17,1,4,1,2,-9999,N/A,-9999,-9999
327,315.086867,315.0868713366005,315.0867603320991,1296056.8,-9999,482554.8,18.36,-1,0.35229820910427107,0.9777313622954326,0,0.5866388173772595,1,2.2222222222222223,0.8888888888888888,N2 S1 O8,de-protonated,0,-9999,C9 H20 O8 N2 S1,9,20,8,2,-9999,1,-9999,N/A,-9999,-9999
328,315.100018,315.10002231768175,315.1002989403491,997050.7,-9999,545124.2,13.69,-1,-0.8778876702853576,0.8694972564976897,0,0.5216983538986139,5,1.5,0.42857142857142855,P1 O6,de-protonated,0,-9999,C14 H21 O6 P1,14,21,6,-9999,1,-9999,-9999,N/A,-9999,-9999
331,315.123409,315.1234132840319,315.1231458414491,1297598.1,-9999,504732.5,18.39,-1,0.8486922853485938,0.8774865908169182,0,0.5264919544901508,0,2.4,0.7,N2 S1 O7,de-protonated,0,-9999,C10 H24 O7 N2 S1,10,24,7,2,-9999,1,-9999,N/A,-9999,-9999
335,317.029899,317.02990054139497,317.03012863520905,1462618.4,-9999,467667,20.96,-1,-0.719470465059542,0.9103513184540716,0,0.5462107910724429,6,1.5,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H15 O2 N4 P1 S2,10,15,2,4,1,2,-9999,N/A,-9999,-9999
337,317.065574,317.0655754900737,317.06564476468907,1191519.8,-9999,743745.8,16.72,-1,-0.2184866652328147,0.991375693325328,0,0.5948254159951968,6,1.5,0.6,N4 P1 O6,de-protonated,0,-9999,C10 H15 O6 N4 P1,10,15,6,4,1,-9999,-9999,N/A,-9999,-9999
341,317.101911,317.10191243779997,317.10203027403907,1217765.3,-9999,567584.2,17.13,-1,-0.3716035466469411,0.975255195569492,0,0.5851531173416952,5,1.7272727272727273,0.4545454545454546,N4 P1 O5,de-protonated,0,-9999,C11 H19 O5 N4 P1,11,19,5,4,1,-9999,-9999,N/A,-9999,-9999
342,317.102801,317.10280243651965,317.1030618452391,2049381.4,-9999,347005.3,30.14,-1,-0.8180580721433014,0.8856540121571821,0,0.5313924072943093,9,1.0588235294117647,0.35294117647058826,O6,de-protonated,0,-9999,C17 H18 O6,17,18,6,-9999,-9999,-9999,-9999,N/A,-9999,-9999
343,317.115727,317.1157284179246,317.1159490048091,1054055.4,-9999,430293,14.43,-1,-0.6956032493617377,0.9159472846484976,0,0.5495683707890986,4,1.6428571428571428,0.42857142857142855,P1 O6,de-protonated,0,-9999,C14 H23 O6 P1,14,23,6,-9999,1,-9999,-9999,N/A,-9999,-9999
346,317.138224,317.1382253855608,317.13841578338906,1448810.8,-9999,657263.3,20.54,-1,-0.6003619201356029,0.9366923790471564,0,0.5620154274282938,4,1.9166666666666667,0.3333333333333333,N4 P1 O4,de-protonated,0,-9999,C12 H23 O4 N4 P1,12,23,4,4,1,-9999,-9999,N/A,-9999,-9999
350,318.97932,318.97931873699827,318.9795323564191,5476487,-9999,424898.5,82.89,-1,-0.6696963258276344,0.9218447105895698,0,0.5531068263537419,7,1,0.7777777777777778,N2 S1 P1 O7,de-protonated,0,-9999,C9 H9 O7 N2 P1 S1,9,9,7,2,1,1,-9999,N/A,-9999,-9999
351,319.009254,319.0092526939359,319.0095553816491,944651.6,-9999,465515.6,12.73,-1,-0.9488358831113984,0.8492884879174555,0,0.5095730927504732,11,0.5714285714285714,0.6428571428571429,O9,de-protonated,0,-9999,C14 H8 O9,14,8,9,-9999,-9999,-9999,-9999,N/A,-9999,-9999
351,319.009254,319.0092526939359,319.00939319031903,944651.6,-9999,465515.6,12.73,-1,-0.4404145650641,0.9654174384570698,0,0.5792504630742419,6,1.4444444444444444,0.3333333333333333,N4 S2 P1 O3,de-protonated,0,-9999,C9 H13 O3 N4 P1 S2,9,13,3,4,1,2,-9999,N/A,-9999,-9999
352,319.04477,319.0447686428433,319.0449093197991,1059345.3,-9999,634370.8,14.5,-1,-0.4409315168917899,0.965337630247242,0,0.5792025781483452,6,1.4444444444444444,0.7777777777777778,N4 P1 O7,de-protonated,0,-9999,C9 H13 O7 N4 P1,9,13,7,4,1,-9999,-9999,N/A,-9999,-9999
353,319.045568,319.0455666416953,319.0457786996691,2407697.3,-9999,433509.6,35.38,-1,-0.6646631547601494,0.9229687739199572,0,0.5537812643519743,5,1.7,0.2,N4 S2 P1 O2,de-protonated,0,-9999,C10 H17 O2 N4 P1 S2,10,17,2,4,1,2,-9999,N/A,-9999,-9999
