Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,17O,18O,34S
63,271.064447,271.0644298802501,271.06456833560907,43279640,-9999,614251.6,736.55,-1,-0.5107836845990649,0.965630044811574,0.9719940872739048,0.9681756617965064,5,1.3333333333333333,0.4166666666666667,S1 O5,de-protonated,0,-9999,C12 H16 O5 S1,12,16,5,-9999,-9999,1,-9999,-9999,-9999,-9999
63,271.064447,271.0644298802501,271.0641882130891,43279640,-9999,614251.6,736.55,-1,0.8915495720230867,0.4328458584872796,0.8684926696514785,0.6071045829529592,10,0.9285714285714286,0.14285714285714285,N2 P1 O2,de-protonated,0,-9999,C14 H13 O2 N2 P1,14,13,2,2,1,-9999,-9999,-9999,-9999,-9999
64,271.065974,271.0659568787284,271.0659057461291,1912600.8,-9999,575503.5,30.66,-1,0.1886353031727674,0.993564259685506,0,0.5961385558113036,10,0.9230769230769232,0.07692307692307693,N4 S1 O1,de-protonated,0,-9999,C13 H12 O1 N4 S1,13,12,1,4,-9999,1,-9999,-9999,-9999,-9999
66,271.118567,271.11854982631627,271.1187119096991,834591.3,-9999,769637.2,12.26,-1,-0.5978317824783598,0.9372077755316078,0,0.5623246653189646,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67,272.067298,272.06727988084873,272.0675430481591,2366870.3,-9999,491681.1,38.41,-1,-0.9672866797369036,0.8438577951807578,0.973419419872935,0.8956824450576287,10,1,0.15384615384615383,13C1 N2 P1 O2,de-protonated,1,62,C13 H13 O2 N2 P1 13C1,13,13,2,2,1,-9999,1,-9999,-9999,-9999
68,272.067843,272.0678248803056,272.0679231706791,4219286.5,-9999,502391,70.02,-1,-0.36127145146423506,0.973241034252443,0.9719940872739048,0.9727422554610275,5,1.4545454545454546,0.4545454545454546,13C1 S1 O5,de-protonated,1,63,C11 H16 O5 S1 13C1,11,16,5,-9999,-9999,1,1,-9999,-9999,-9999
68,272.067843,272.0678248803056,272.0676793937791,4219286.5,-9999,502391,70.02,-1,0.5347438799639689,0.9494376315933089,0,0.5696625789559853,10,0.8461538461538461,0.3076923076923077,N3 O4,de-protonated,0,-9999,C13 H11 O4 N3,13,11,4,3,-9999,-9999,-9999,-9999,-9999,-9999
69,273.043234,273.0432149082697,273.0434527681991,3691023.3,-9999,590543.2,60.57,-1,-0.8711431347616846,0.8713603576017195,0,0.5228162145610317,10,0.8461538461538461,0.2307692307692308,N2 P1 O3,de-protonated,0,-9999,C13 H11 O3 N2 P1,13,11,3,2,1,-9999,-9999,-9999,-9999,-9999
70,273.043732,273.0437129077734,273.0438328907191,6929935.5,-9999,541706.6,115.45,-1,-0.4394274151324773,0.982261529074302,0.982955839252334,0.9825392531455148,5,1.2727272727272727,0.5454545454545454,S1 O6,de-protonated,0,-9999,C11 H14 O6 S1,11,14,6,-9999,-9999,1,-9999,-9999,-9999,-9999
70,273.043732,273.0437129077734,273.0434527681991,6929935.5,-9999,541706.6,115.45,-1,0.9527405681598204,0.4240725200589097,0.8767281105990777,0.6051347562749769,10,0.8461538461538461,0.2307692307692308,N2 P1 O3,de-protonated,0,-9999,C13 H11 O3 N2 P1,13,11,3,2,1,-9999,-9999,-9999,-9999,-9999
