Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
104,283.082275,283.08237761992217,283.0823264003491,1030095.1,-9999,519023.8,15.37,-1,0.18093525564151025,0.9940774195603684,0,0.596446451736221,6,1.2307692307692308,0.5384615384615384,O7,de-protonated,0,-9999,C13 H16 O7,13,16,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
106,283.118748,283.11885054562623,283.1187119096991,1224146.6,-9999,441703.4,18.64,-1,0.4896741943429408,0.9574249768314465,0,0.5744549860988678,5,1.4285714285714286,0.42857142857142855,O6,de-protonated,0,-9999,C14 H20 O6,14,20,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
107,283.264179,283.26428124938144,283.26425394709906,1275936.6,-9999,469745.9,19.51,-1,0.09638449608731484,0.9983157668657338,0,0.5989894601194402,1,2,0.1111111111111111,O2,de-protonated,0,-9999,C18 H36 O2,18,36,2,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
109,285.09791,285.0980085140479,285.0979764648091,1454736.8,-9999,654109.4,22.52,-1,0.11241482372501488,0.9977096430294672,0,0.5986257858176803,5,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,-9999,C13 H18 O7,13,18,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
111,285.126064,285.1261624566978,285.1261197656691,871507.4,-9999,481115.5,12.7,-1,0.14972682515728455,0.9959405232255144,0,0.5975643139353085,4,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,-9999,C14 H23 O4 P1,14,23,4,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
112,285.134192,285.13429044014094,285.13436197415905,1117972.3,-9999,617073.7,16.85,-1,-0.250878279311143,0.9886446006434734,0,0.593186760386084,4,1.5714285714285714,0.42857142857142855,O6,de-protonated,0,-9999,C14 H22 O6,14,22,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
114,287.113474,287.1135684083181,287.1136265292691,940240.3,-9999,630371.5,13.75,-1,-0.20243187931755657,0.9925920500593326,0,0.5955552300355995,4,1.5384615384615383,0.5384615384615384,O7,de-protonated,0,-9999,C13 H20 O7,13,20,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
115,288.987351,288.98744159120656,288.9875951169991,892160.9,-9999,446111.9,12.95,-1,-0.5312539193212612,0.9500787580497668,0,0.5700472548298602,6,1.2222222222222223,0.3333333333333333,N2 S2 P1 O3,de-protonated,0,-9999,C9 H11 O3 N2 P1 S2,9,11,3,2,1,2,-9999,-9999,N/A,-9999,-9999
116,289.121072,289.1211623188152,289.12103438523906,1871885.5,-9999,445391.9,29.32,-1,0.44249141687113497,0.965096281977117,0,0.5790577691862702,3,1.7692307692307692,0.38461538461538464,P1 O5,de-protonated,0,-9999,C13 H23 O5 P1,13,23,5,-9999,1,-9999,-9999,-9999,N/A,-9999,-9999
118,290.139665,290.13975324392817,290.1397817072191,1083885.3,-9999,511196.6,16.15,-1,-0.09810199323722472,0.9982552614764676,0,0.5989531568858806,7,1.3125,0.25,N1 O4,de-protonated,0,-9999,C16 H21 O4 N1,16,21,4,1,-9999,-9999,-9999,-9999,N/A,-9999,-9999
120,291.036291,291.0363774174895,291.0366395100091,938305.4,-9999,533560.5,13.61,-1,-0.9005481921593951,0.8631623056153542,0,0.5178973833692125,4,1.4545454545454546,0.4545454545454546,S2 O5,de-protonated,0,-9999,C11 H16 O5 S2,11,16,5,-9999,-9999,2,-9999,-9999,N/A,-9999,-9999
120,291.036291,291.0363774174895,291.0362593874891,938305.4,-9999,533560.5,13.61,-1,0.40555084323995394,0.970597774279401,0,0.5823586645676405,9,1,0.15384615384615383,N2 S1 P1 O2,de-protonated,0,-9999,C13 H13 O2 N2 P1 S1,13,13,2,2,1,1,-9999,-9999,N/A,-9999,-9999
121,291.087309,291.0873953135652,291.08741178077906,957126.1,-9999,483494.5,13.93,-1,-0.05657137066599092,0.9994194747140752,0,0.599651684828445,8,1.0666666666666669,0.4,O6,de-protonated,0,-9999,C15 H16 O6,15,16,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
123,291.123688,291.1237742394607,291.12379729012906,846153.6,-9999,765848.6,12.09,-1,-0.07917823469285748,0.9988631099430376,0,0.5993178659658226,7,1.25,0.3125,O5,de-protonated,0,-9999,C16 H20 O5,16,20,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
125,293.066617,293.0666992816894,293.0666763358891,1257215.9,-9999,562328.2,18.9,-1,0.07829549438156656,0.9988883044782504,0,0.5993329826869502,8,1,0.5,O7,de-protonated,0,-9999,C14 H14 O7,14,14,7,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
125,293.066617,293.0666992816894,293.06651414455905,1257215.9,-9999,562328.2,18.9,-1,0.6317239309961024,0.9301479149302202,0,0.5580887489581321,3,2.111111111111111,0.1111111111111111,N4 S2 P1 O1,de-protonated,0,-9999,C9 H19 O1 N4 P1 S2,9,19,1,4,1,2,-9999,-9999,N/A,-9999,-9999
126,293.10307,293.10315220743416,293.1030618452391,1523587.4,-9999,490884,23.32,-1,0.30829495433481713,0.9829019281513608,0,0.5897411568908165,7,1.2,0.4,O6,de-protonated,0,-9999,C15 H18 O6,15,18,6,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
128,293.13941,293.13949213340914,293.1394473545891,983942.8,-9999,708970.8,14.37,-1,0.1527560362294959,0.9957749533059284,0,0.5974649719835571,6,1.375,0.3125,O5,de-protonated,0,-9999,C16 H22 O5,16,22,5,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
131,293.174655,293.17473706161456,293.17480129273906,5451402,-9999,482779.9,88.49,-1,-0.21908814882506528,0.991328350101642,0,0.5947970100609853,1,2.4545454545454546,0.2727272727272727,N4 P1 O3,de-protonated,0,-9999,C11 H27 O3 N4 P1,11,27,3,4,1,-9999,-9999,-9999,N/A,-9999,-9999
132,293.175734,293.17581605941666,293.1758328639391,85585032,-9999,459851.6,1417.95,-1,-0.05731892109659731,0.998886069030294,0.9899074966507608,0.9952946400784808,5,1.5294117647058822,0.2352941176470588,O4,de-protonated,0,-9999,C17 H26 O4,17,26,4,-9999,-9999,-9999,-9999,-9999,N/A,-9999,-9999
