Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,HtoC_ratio,OtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,34S
52,263.12879,263.1288768551924,263.12888267055905,888686.6,-9999,574169,13.34,-1,-0.02210082978977609,0.999911375919399,0,0.5999468255516394,6,1.3333333333333333,0.26666666666666666,O4,de-protonated,0,-9999,C15 H20 O4,15,20,4,-9999,-9999,-9999,-9999,-9999,-9999
53,263.201668,263.201754801523,263.2016536892591,841208.8,-9999,881637.2,12.52,-1,0.384162722719854,0.9735769835725426,0,0.5841461901435255,4,1.6470588235294117,0.1176470588235294,O2,de-protonated,0,-9999,C17 H28 O2,17,28,2,-9999,-9999,-9999,-9999,-9999,-9999
54,265.144366,265.14445137086597,265.1445327350191,883203.1,-9999,725888.3,13.14,-1,-0.3068671727031834,0.9830585852225232,0,0.5898351511335139,5,1.4666666666666666,0.26666666666666666,O4,de-protonated,0,-9999,C15 H22 O4,15,22,4,-9999,-9999,-9999,-9999,-9999,-9999
56,265.147757,265.14784236836874,265.14790403833905,4266883.5,-9999,487312,71.06,-1,-0.23258705563217932,0.990232235425932,0,0.5941393412555591,0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999
57,266.088852,266.0889366753201,266.0890094364491,901890.1,-9999,844627.6,13.46,-1,-0.27344657768636055,0.9865241550446616,0,0.591914493026797,1,2.1,0.3,N1 S2 O3,de-protonated,0,-9999,C10 H21 O3 N1 S2,10,21,3,1,-9999,2,-9999,-9999,-9999
60,267.073205,267.0732889504151,267.0730250193591,873156.8,-9999,541458.5,12.97,-1,0.9882355433610696,0.8376084686629294,0,0.5025650811977576,1,2,0.4,S2 O4,de-protonated,0,-9999,C10 H20 O4 S2,10,20,4,-9999,-9999,2,-9999,-9999,-9999
60,267.073205,267.0732889504151,267.07349305000906,873156.8,-9999,541458.5,12.97,-1,-0.7642076031419072,0.8994530353169234,0,0.539671821190154,7,1.2,0.5,N4 O5,de-protonated,0,-9999,C10 H12 O5 N4,10,12,5,4,-9999,-9999,-9999,-9999,-9999
61,267.087214,267.0872979400985,267.08741178077906,1143686.6,-9999,888702.8,17.6,-1,-0.42623004884576465,0.9675732410152708,0,0.5805439446091625,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,-9999
62,267.08739,267.0874739399689,267.08741178077906,1030118.7,-9999,587963.3,15.65,-1,0.23272976222856948,0.9902203043098956,0,0.5941321825859373,6,1.2307692307692308,0.4615384615384616,O6,de-protonated,0,-9999,C13 H16 O6,13,16,6,-9999,-9999,-9999,-9999,-9999,-9999
65,267.123645,267.1237289132697,267.12379729012906,1498251.5,-9999,599642,23.67,-1,-0.25597442105121077,0.9881813505436092,0,0.5929088103261656,5,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,-9999,C14 H20 O5,14,20,5,-9999,-9999,-9999,-9999,-9999,-9999
66,267.12395,267.124033913045,267.12379729012906,1284107.5,-9999,787493.4,20,-1,0.8858174313327052,0.8672935326140434,0,0.520376119568426,5,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,-9999,C14 H20 O5,14,20,5,-9999,-9999,-9999,-9999,-9999,-9999
67,267.196429,267.19651285966955,267.19656830882906,886549.1,-9999,691090.6,13.2,-1,-0.207521974757782,0.9922162963261054,0,0.5953297777956632,3,1.75,0.1875,O3,de-protonated,0,-9999,C16 H28 O3,16,28,3,-9999,-9999,-9999,-9999,-9999,-9999
69,269.066477,269.066559482514,269.0666763358891,994824.6,-9999,734081.8,14.93,-1,-0.4342915172909757,0.966356101687529,0,0.5798136610125173,6,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999,-9999,-9999
70,269.102883,269.10296545570355,269.1030618452391,1822861.3,-9999,517169.9,28.99,-1,-0.35818817846828627,0.9769892368906632,0,0.5861935421343979,5,1.3846153846153846,0.4615384615384616,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999,-9999
71,269.130992,269.1310744350033,269.1312051460991,2561425,-9999,574363.6,41.54,-1,-0.4856779640520213,0.9581023439671762,0,0.5748614063803057,4,1.6428571428571428,0.21428571428571427,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,-9999,-9999
73,269.139234,269.1393164289337,269.1394473545891,3282834,-9999,615614.9,53.79,-1,-0.4864602966944137,0.9579701367229368,0,0.5747820820337621,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999,-9999
74,269.139527,269.1396094287179,269.1394473545891,2858130,-9999,651873.4,46.58,-1,0.6021938827710277,0.9363180221268608,0,0.5617908132761164,4,1.5714285714285714,0.35714285714285715,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999,-9999
75,269.175662,269.17574440210706,269.1758328639391,1461910.6,-9999,520146.6,22.86,-1,-0.32863957768566177,0.9805935976102442,0,0.5883561585661465,3,1.7333333333333334,0.26666666666666666,O4,de-protonated,0,-9999,C15 H26 O4,15,26,4,-9999,-9999,-9999,-9999,-9999,-9999
77,269.212081,269.2121633752871,269.2122183732891,2320795.3,-9999,414342.1,37.45,-1,-0.2042923694838974,0.9924557731578036,0,0.5954734638946821,2,1.875,0.1875,O3,de-protonated,0,-9999,C16 H30 O3,16,30,3,-9999,-9999,-9999,-9999,-9999,-9999
78,269.21231,269.21239237511844,269.2122183732891,2376859.5,-9999,579721.5,38.4,-1,0.646337043696415,0.92700114864602,0,0.5562006891876119,2,1.875,0.1875,O3,de-protonated,0,-9999,C16 H30 O3,16,30,3,-9999,-9999,-9999,-9999,-9999,-9999
79,271.082166,271.08224699810427,271.0823264003491,1110537,-9999,578476.3,16.89,-1,-0.29290823146603545,0.9845531139807968,0,0.5907318683884781,5,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,-9999,C12 H16 O7,12,16,7,-9999,-9999,-9999,-9999,-9999,-9999
80,271.118473,271.1185539713668,271.1187119096991,1465165.6,-9999,879516.9,22.91,-1,-0.582543090318963,0.940281686216792,0,0.5641690117300752,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,-9999,-9999
81,271.118709,271.11878997119305,271.1187119096991,1517709.6,-9999,577561.4,23.81,-1,0.28792366793897445,0.9850704642177804,0,0.5910422785306683,4,1.5384615384615383,0.4615384615384616,O6,de-protonated,0,-9999,C13 H20 O6,13,20,6,-9999,-9999,-9999,-9999,-9999,-9999
82,271.154963,271.1550439444946,271.15509741904907,969810.2,-9999,510032.4,14.5,-1,-0.19721021284827953,0.9929679629316096,0,0.5957807777589657,3,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,-9999,C14 H24 O5,14,24,5,-9999,-9999,-9999,-9999,-9999,-9999
83,271.19134,271.19142091770556,271.19148292839907,1552278.8,-9999,418596.1,24.39,-1,-0.22866018077717623,0.9905577295057536,0,0.5943346377034522,2,1.8666666666666667,0.26666666666666666,O4,de-protonated,0,-9999,C15 H28 O4,15,28,4,-9999,-9999,-9999,-9999,-9999,-9999
84,273.09786,273.097939513691,273.0979764648091,1176291.6,-9999,415193.3,17.86,-1,-0.13530352208749197,0.9966837221181564,0,0.5980102332708938,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,-9999,-9999
85,273.098088,273.0981675135231,273.0979764648091,1277123.8,-9999,578222.6,19.56,-1,0.69956107496568265,0.91503003241804,0,0.549018019450824,4,1.5,0.5833333333333334,O7,de-protonated,0,-9999,C12 H18 O7,12,18,7,-9999,-9999,-9999,-9999,-9999,-9999
86,273.134279,273.134358486871,273.13436197415905,1539016.1,-9999,444702.6,23.98,-1,-0.01276766502520842,0.9999704218937124,0,0.5999822531362274,3,1.6923076923076923,0.4615384615384616,O6,de-protonated,0,-9999,C13 H22 O6,13,22,6,-9999,-9999,-9999,-9999,-9999,-9999
87,275.113478,275.1135560293336,275.1136265292691,1105017,-9999,693192.5,16.66,-1,-0.2562575193553855,0.9881553496250214,0,0.5928932097750128,3,1.6666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H20 O7,12,20,7,-9999,-9999,-9999,-9999,-9999,-9999
88,275.113761,275.11383902912524,275.1136265292691,866233.1,-9999,693693.9,12.63,-1,0.772407600605063,0.8973989674183791,0,0.5384393804510275,3,1.6666666666666667,0.5833333333333334,O7,de-protonated,0,-9999,C12 H20 O7,12,20,7,-9999,-9999,-9999,-9999,-9999,-9999
89,275.165024,275.1651019913737,275.1652681799091,848959.3,-9999,662065.8,12.34,-1,-0.6039589824964504,0.9359563917284917,0,0.561573835037095,6,1.411764705882353,0.17647058823529413,O3,de-protonated,0,-9999,C17 H24 O3,17,24,3,-9999,-9999,-9999,-9999,-9999,-9999
91,277.059486,277.059562596239,277.0594967558291,10213473,-9999,604889.8,170.15,-1,0.23763996780293,0.4949027068058901,0.9112932940309506,0.6614589416959142,4,1.6666666666666667,0.6666666666666666,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,-9999,-9999
92,277.071581,277.0716575873319,277.0717617163191,1113314.8,-9999,464270.3,16.79,-1,-0.3758195585505313,0.9746977322508876,0,0.5848186393505326,8,1,0.42857142857142855,O6,de-protonated,0,-9999,C14 H14 O6,14,14,6,-9999,-9999,-9999,-9999,-9999,-9999
93,277.144463,277.14453953365955,277.1445327350191,1461163.4,-9999,420701.1,22.66,-1,0.02453102864075509,0.9998908153372272,0,0.5999344892023363,6,1.375,0.25,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,-9999,-9999
94,277.155561,277.15563752548667,277.1557661243091,910444.7,-9999,704417.8,13.37,-1,-0.4639947572165134,0.9616888767473109,0,0.5770133260483864,6,1.4666666666666666,0.2,N2 O3,de-protonated,0,-9999,C15 H22 O3 N2,15,22,3,2,-9999,-9999,-9999,-9999,-9999
95,277.155927,277.15600352521716,277.1557661243091,987116.8,-9999,630362.9,14.67,-1,0.8565613171125612,0.8753526813649952,0,0.5252116088189971,6,1.4666666666666666,0.2,N2 O3,de-protonated,0,-9999,C15 H22 O3 N2,15,22,3,2,-9999,-9999,-9999,-9999,-9999
96,277.180962,277.1810385067807,277.1809182443691,1456751.8,-9999,593750.2,22.58,-1,0.4338769506961104,0.966419212462776,0,0.5798515274776657,5,1.5294117647058822,0.17647058823529413,O3,de-protonated,0,-9999,C17 H26 O3,17,26,3,-9999,-9999,-9999,-9999,-9999,-9999
100,279.038687,279.0387621387001,279.0387613109391,1461577.5,-9999,744988.5,22.48,-1,0.00296647327358033,0.9999984032594248,0,0.5999990419556549,4,1.625,0.875,N2 P1 O7,de-protonated,0,-9999,C8 H13 O7 N2 P1,8,13,7,2,1,-9999,-9999,-9999,-9999
101,279.038926,279.03900113852416,279.0387613109391,1235017.6,-9999,565792.5,18.69,-1,0.8594776723335311,0.8745581568606227,0,0.5247348941163735,4,1.625,0.875,N2 P1 O7,de-protonated,0,-9999,C8 H13 O7 N2 P1,8,13,7,2,1,-9999,-9999,-9999,-9999
102,279.05585,279.05592512606086,279.0557349852691,1190475.5,-9999,708957.5,17.94,-1,0.6813720984965057,0.91920987708984,0,0.551525926253904,8,1.0909090909090908,0.2727272727272727,N4 S1 O3,de-protonated,0,-9999,C11 H12 O3 N4 S1,11,12,3,4,-9999,1,-9999,-9999,-9999
103,279.056538,279.0566131255542,279.05638643394906,3734859.8,-9999,558207.8,60.48,-1,0.8123505360981534,0.4435753474448003,0.8295321147073604,0.5979580543498244,17,0.42105263157894735,0.05263157894736842,N2 O1,de-protonated,0,-9999,C19 H8 O1 N2,19,8,1,2,-9999,-9999,-9999,-9999,-9999
105,279.0985,279.0985750946522,279.0986451700691,844752.5,-9999,688366.2,12.17,-1,-0.25107759623923237,0.9886266533149584,0,0.5931759919889751,7,1.2307692307692308,0.38461538461538464,N2 O5,de-protonated,0,-9999,C13 H16 O5 N2,13,16,5,2,-9999,-9999,-9999,-9999,-9999
106,279.123579,279.1236540761833,279.12379729012906,948051.4,-9999,599185.1,13.89,-1,-0.5130839690215989,0.9533556044350456,0,0.5720133626610273,6,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,-9999,C15 H20 O5,15,20,5,-9999,-9999,-9999,-9999,-9999,-9999
